id,question,answer,operational_pass,answer_success,route_pass,tool_route_pass,expected_agents,actual_agents,expected_requires_documents,actual_requires_documents,expected_requires_sql,actual_requires_sql,expected_document_types,returned_document_types,matched_document_types,retrieval_pass,retrieval_type_recall,document_evidence_count,document_evidence_ids,expected_sql_view,sql_execution_pass,sql_view_pass,sql_sources,sql,sql_row_count,sql_evidence_ids,claim_count,supported_claim_count,claim_support_rate,citation_integrity_pass,claims,warnings,timings_ms,provider_metrics,latency_ms,wall_clock_latency_ms,error
Q001,Which suppliers have late shipments and what contract penalties apply?,"DataCo order 15654 had 4 scheduled days and 5 actual days, exceeding its delivery window by 1 day.

DataCo order 48684 had 4 scheduled days and 5 actual days, exceeding its delivery window by 1 day.

DataCo order 59879 had 4 scheduled days and 5 actual days, exceeding its delivery window by 1 day.

Vendor supply agreements such as CON-P2-0103 specify a late delivery credit of 1 percent of the delayed line value per verified week, capped at 5 percent.",True,True,True,True,"[""analytics"",""supplier""]","[""supplier"",""logistics"",""analytics""]",True,True,True,True,"[""CARRIER_MSA"",""VENDOR_SUPPLY_AGREEMENT""]","[""EMAIL_THREAD_JSON"",""VENDOR_SUPPLY_AGREEMENT""]","[""VENDOR_SUPPLY_AGREEMENT""]",True,0.5,8,"[""DOC-81e29c14-8a44-5f29-9f21-96264657b547"",""DOC-997c8f23-97ec-5923-b4ec-b375ad7f886e"",""DOC-22d0f51f-e526-53ef-93d2-48f9bd46d4da"",""DOC-15c4168f-5eb9-5004-a024-494a2b357f8c"",""DOC-18f7a12a-548e-5825-a78a-7d4c7b4b82fa"",""DOC-0214ab9e-4c4c-5157-9546-ecbf36f77dee"",""DOC-047124ec-6481-59b3-8175-a280a960b0d0"",""DOC-0c88b28d-beb2-5ac4-ba14-8abe14a199f4""]",,True,,"[""template:supplier_late_shipments""]","SELECT supplier_id, supplier_name, risk_tier, shipment_count, late_shipment_count, on_time_percentage, open_purchase_order_count, data_as_of FROM analytics.supplier_performance WHERE late_shipment_count > 0 ORDER BY late_shipment_count DESC, supplier_name LIMIT 201",0,"[""SQL-e6b6b9fb4e3cceab""]",4,4,1.0,True,"[{""text"":""DataCo order 15654 had 4 scheduled days and 5 actual days, exceeding its delivery window by 1 day."",""evidence_ids"":[""DOC-81e29c14-8a44-5f29-9f21-96264657b547""],""supported"":true},{""text"":""DataCo order 48684 had 4 scheduled days and 5 actual days, exceeding its delivery window by 1 day."",""evidence_ids"":[""DOC-997c8f23-97ec-5923-b4ec-b375ad7f886e""],""supported"":true},{""text"":""DataCo order 59879 had 4 scheduled days and 5 actual days, exceeding its delivery window by 1 day."",""evidence_ids"":[""DOC-22d0f51f-e526-53ef-93d2-48f9bd46d4da""],""supported"":true},{""text"":""Vendor supply agreements such as CON-P2-0103 specify a late delivery credit of 1 percent of the delayed line value per verified week, capped at 5 percent."",""evidence_ids"":[""DOC-15c4168f-5eb9-5004-a024-494a2b357f8c""],""supported"":true}]",[],"{""routing"":0,""document_exact_identifier"":0,""document_hybrid_retrieval"":295,""document_reranking"":621,""document_retrieval_total"":916,""sql_lookup"":38,""evidence_collection"":917,""synthesis"":2956,""orchestrator_total"":3885}","[{""attempt"":1,""status_code"":200,""latency_ms"":2954,""provider"":""gemini"",""model"":""gemini-3.5-flash-lite"",""input_tokens"":3279,""output_tokens"":455,""total_tokens"":3734,""finish_reason"":""STOP"",""response_characters"":1129,""ignored_thought_parts"":0}]",3885,3885,
Q002,Create a supplier scorecard with on-time percentage and open purchase orders.,"Aurora Medical Supplies has an on-time percentage of 100.00% and 6 open purchase orders.

Bluehaven Industrial Components has an on-time percentage of 100.00% and 7 open purchase orders.

Cascade Apparel Manufacturing has an on-time percentage of 100.00% and 6 open purchase orders.

Cedar Paper and Board has an on-time percentage of 100.00% and 6 open purchase orders.

Greenfield Cold Chain Foods has an on-time percentage of 100.00% and 7 open purchase orders.

Apex Packaging Solutions has an on-time percentage of 100.00% and 7 open purchase orders.",True,True,True,True,"[""analytics"",""executive_reporting"",""supplier""]","[""supplier"",""analytics"",""executive_reporting""]",True,True,True,True,[],"[""FULL_SOP""]",[],,,4,"[""DOC-d94994ac-6c59-502c-856e-7f1151194bd6"",""DOC-4dc206e2-6921-5d2c-bac2-759fe2fd20dc"",""DOC-03c133b0-dc08-5719-a574-29e5256e4daf"",""DOC-2681a755-47b0-51f2-965b-72ff22928832""]",supplier_performance,True,True,"[""template:supplier_performance""]","SELECT * FROM analytics.supplier_performance ORDER BY risk_tier DESC, on_time_percentage ASC NULLS FIRST, supplier_name LIMIT 201",30,"[""SQL-22abac15b10aed8b""]",6,6,1.0,True,"[{""text"":""Aurora Medical Supplies has an on-time percentage of 100.00% and 6 open purchase orders."",""evidence_ids"":[""SQL-22abac15b10aed8b""],""supported"":true},{""text"":""Bluehaven Industrial Components has an on-time percentage of 100.00% and 7 open purchase orders."",""evidence_ids"":[""SQL-22abac15b10aed8b""],""supported"":true},{""text"":""Cascade Apparel Manufacturing has an on-time percentage of 100.00% and 6 open purchase orders."",""evidence_ids"":[""SQL-22abac15b10aed8b""],""supported"":true},{""text"":""Cedar Paper and Board has an on-time percentage of 100.00% and 6 open purchase orders."",""evidence_ids"":[""SQL-22abac15b10aed8b""],""supported"":true},{""text"":""Greenfield Cold Chain Foods has an on-time percentage of 100.00% and 7 open purchase orders."",""evidence_ids"":[""SQL-22abac15b10aed8b""],""supported"":true},{""text"":""Apex Packaging Solutions has an on-time percentage of 100.00% and 7 open purchase orders."",""evidence_ids"":[""SQL-22abac15b10aed8b""],""supported"":true}]",[],"{""routing"":0,""document_exact_identifier"":197,""document_retrieval_total"":197,""sql_lookup"":43,""evidence_collection"":198,""synthesis"":2270,""orchestrator_total"":2470}","[{""attempt"":1,""status_code"":200,""latency_ms"":2248,""provider"":""gemini"",""model"":""gemini-3.5-flash-lite"",""input_tokens"":3959,""output_tokens"":484,""total_tokens"":4443,""finish_reason"":""STOP"",""response_characters"":1447,""ignored_thought_parts"":0}]",2470,2470,
Q003,What payment terms apply to open purchase orders?,The open-purchase-order payment-term breakdown contains 30 rows covering 200 distinct purchase orders. The complete result is shown in the table.,False,True,True,True,"[""analytics"",""supplier""]","[""supplier"",""analytics""]",True,True,True,True,"[""PURCHASE_ORDER"",""VENDOR_SUPPLY_AGREEMENT""]","[""EMAIL_THREAD_JSON"",""SHORTAGE_REPORT""]",[],False,0.0,8,"[""DOC-04a7a31d-82b6-5bef-9cdb-89f0543c356d"",""DOC-14f03f12-3c1e-5b71-abc2-05e3e69945f2"",""DOC-168be0a9-9953-55e3-a35d-a41015f5994d"",""DOC-0a0ce4fe-e5d0-5167-85ac-89eb92111c6e"",""DOC-5b2f2697-df76-5aa9-b3b9-66594e11440d"",""DOC-062a72fc-db67-596a-8585-4919c9e96b42"",""DOC-800dbf50-7a81-55e7-8927-5a248b004130"",""DOC-04175bed-df11-5950-aa5c-9bac4b3e83f1""]",,True,,"[""plan:local""]","SELECT supplier_id, supplier_name, payment_terms, COUNT(DISTINCT po_id) AS distinct_purchase_order_count FROM analytics.purchase_order_lines WHERE NOT UPPER(COALESCE(status, '')) IN ('CLOSED', 'COMPLETED', 'CANCELLED') GROUP BY supplier_id, supplier_name, payment_terms ORDER BY supplier_name ASC LIMIT 201",30,"[""SQL-1710239356b3cefd""]",1,1,1.0,True,"[{""text"":""The open-purchase-order payment-term breakdown contains 30 rows covering 200 distinct purchase orders. The complete result is shown in the table."",""evidence_ids"":[""SQL-1710239356b3cefd""],""supported"":true}]",[],"{""routing"":0,""document_exact_identifier"":0,""document_hybrid_retrieval"":123,""document_reranking"":575,""document_retrieval_total"":699,""sql_lookup"":41,""evidence_collection"":699,""synthesis"":0,""orchestrator_total"":701}",[],701,701,
Q004,Summarize the warranty obligations in supplier contracts.,"The retrieved evidence did not establish enough facts to answer “Summarize the warranty obligations in supplier contracts.”. Try adding a specific identifier, entity, or date range.",False,False,True,True,"[""executive_reporting"",""supplier""]","[""supplier"",""executive_reporting""]",True,True,False,False,"[""VENDOR_SUPPLY_AGREEMENT""]","[""VENDOR_SUPPLY_AGREEMENT"",""WAREHOUSING_AGREEMENT""]","[""VENDOR_SUPPLY_AGREEMENT""]",True,1.0,8,"[""DOC-c62e02b0-4446-5f5e-be6e-7616f832cdbc"",""DOC-84e1bb6d-fc38-5ed2-81de-0133dd7b7347"",""DOC-ce1745d5-7845-5d36-9247-d5c990f1437b"",""DOC-f0400c5c-c26d-52c6-801b-945b05e84e22"",""DOC-e7992d3a-5fe8-5a53-8d4b-334452ac0e4f"",""DOC-15f4157b-d6a5-5801-8a0a-72909c4431f1"",""DOC-df6634ad-609d-5e1b-a73f-c3deb960d688"",""DOC-1cf72d37-3c48-5dee-8c31-c8322e2722b9""]",,,,[],,0,[],0,0,0.0,False,[],"[""No warranty obligations are mentioned in the provided supplier contract evidence.""]","{""routing"":0,""document_exact_identifier"":0,""document_hybrid_retrieval"":185,""document_reranking"":396,""document_retrieval_total"":581,""evidence_collection"":582,""synthesis"":1895,""orchestrator_total"":2479}","[{""attempt"":1,""status_code"":200,""latency_ms"":1894,""provider"":""gemini"",""model"":""gemini-3.5-flash-lite"",""input_tokens"":2198,""output_tokens"":33,""total_tokens"":2231,""finish_reason"":""STOP"",""response_characters"":127,""ignored_thought_parts"":0}]",2479,2479,
Q005,Which suppliers are in the high risk tier?,"Atlas Material Handling (SUP-ATLAS) is categorized in the high risk tier.

Ironbridge Metals and Fabrication (SUP-IRONBRIDGE) is categorized in the high risk tier.

Quantum Mobility Parts (SUP-QUANTUM) is categorized in the high risk tier.

Silverline Consumer Electronics (SUP-SILVERLINE) is categorized in the high risk tier.",True,True,True,True,"[""analytics"",""risk"",""supplier""]","[""supplier"",""analytics"",""risk""]",True,True,True,True,[],"[""FULL_SOP"",""SHORTAGE_REPORT""]",[],,,8,"[""DOC-314f7a33-17cb-5b4a-9a93-2c3640a44465"",""DOC-f7d956b1-a6fe-5af6-91dc-25b20f8d8d65"",""DOC-70fe00be-bd53-5271-8323-89afd70b087f"",""DOC-4b949131-15a5-5df9-89ed-6b85720e99ba"",""DOC-6a078cfc-8be8-58b5-8418-363b8c304a24"",""DOC-87607903-c6a0-5f27-9476-4acd798598a7"",""DOC-cfc4dbd2-7b46-5903-b4fb-858e6b5933fe"",""DOC-78e199bf-b142-5512-aa56-2a448d8b6148""]",supplier_performance,True,True,"[""template:high_risk_suppliers""]","SELECT * FROM analytics.supplier_performance WHERE UPPER(COALESCE(risk_tier, '')) = 'HIGH' ORDER BY supplier_name LIMIT 201",4,"[""SQL-0df44855662b26af""]",4,4,1.0,True,"[{""text"":""Atlas Material Handling (SUP-ATLAS) is categorized in the high risk tier."",""evidence_ids"":[""SQL-0df44855662b26af""],""supported"":true},{""text"":""Ironbridge Metals and Fabrication (SUP-IRONBRIDGE) is categorized in the high risk tier."",""evidence_ids"":[""SQL-0df44855662b26af""],""supported"":true},{""text"":""Quantum Mobility Parts (SUP-QUANTUM) is categorized in the high risk tier."",""evidence_ids"":[""SQL-0df44855662b26af""],""supported"":true},{""text"":""Silverline Consumer Electronics (SUP-SILVERLINE) is categorized in the high risk tier."",""evidence_ids"":[""SQL-0df44855662b26af""],""supported"":true}]",[],"{""routing"":0,""document_exact_identifier"":0,""document_hybrid_retrieval"":198,""document_reranking"":590,""document_retrieval_total"":788,""sql_lookup"":23,""evidence_collection"":789,""synthesis"":1827,""orchestrator_total"":2618}","[{""attempt"":1,""status_code"":200,""latency_ms"":1824,""provider"":""gemini"",""model"":""gemini-3.5-flash-lite"",""input_tokens"":4434,""output_tokens"":294,""total_tokens"":4728,""finish_reason"":""STOP"",""response_characters"":875,""ignored_thought_parts"":0}]",2618,2618,
Q006,Compare purchase order value and received quantity by supplier.,"Vantage Sports Equipment has a purchase order value of 579447285.83000000 and a received quantity of 16239.0000.

Atlas Material Handling has a purchase order value of 280953150.80000000 and a received quantity of 16464.0000.

Verdant Personal Care has a purchase order value of 247276536.27000000 and a received quantity of 16121.0000.

Lumina Lighting Systems has a purchase order value of 225950493.11000000 and a received quantity of 16449.0000.

Nimbus Cloud Devices has a purchase order value of 219712695.12000000 and a received quantity of 16859.0000.",True,True,True,True,"[""analytics"",""supplier""]","[""supplier"",""inventory"",""analytics""]",True,True,True,True,[],"[""SHORTAGE_REPORT""]",[],,,8,"[""DOC-c6d5f616-2b7d-5640-a282-70c6079f86c8"",""DOC-4ccd18f7-ee97-5e0a-b9bf-61dec9fc1178"",""DOC-704a526b-0133-51fc-a3d1-970348b80312"",""DOC-cb6e6abd-fe87-5623-a15b-00afb8b52855"",""DOC-9ad80d16-d7c0-5bca-8fd8-b5b4743f8b38"",""DOC-7be68796-63bc-5081-9c73-ade67e82c5c8"",""DOC-f4032ee5-a898-573c-91d0-2920bf883c24"",""DOC-158c7454-7a3c-5646-bd0f-e078e429777f""]",purchase_order_lines,True,True,"[""template:supplier_po_receipts""]","SELECT supplier_id, supplier_name, SUM(line_value) AS purchase_order_value, SUM(received_quantity) AS received_quantity FROM analytics.purchase_order_lines GROUP BY supplier_id, supplier_name ORDER BY purchase_order_value DESC NULLS LAST, supplier_name LIMIT 201",30,"[""SQL-3e1a9c0c5ad3e104""]",5,5,1.0,True,"[{""text"":""Vantage Sports Equipment has a purchase order value of 579447285.83000000 and a received quantity of 16239.0000."",""evidence_ids"":[""SQL-3e1a9c0c5ad3e104""],""supported"":true},{""text"":""Atlas Material Handling has a purchase order value of 280953150.80000000 and a received quantity of 16464.0000."",""evidence_ids"":[""SQL-3e1a9c0c5ad3e104""],""supported"":true},{""text"":""Verdant Personal Care has a purchase order value of 247276536.27000000 and a received quantity of 16121.0000."",""evidence_ids"":[""SQL-3e1a9c0c5ad3e104""],""supported"":true},{""text"":""Lumina Lighting Systems has a purchase order value of 225950493.11000000 and a received quantity of 16449.0000."",""evidence_ids"":[""SQL-3e1a9c0c5ad3e104""],""supported"":true},{""text"":""Nimbus Cloud Devices has a purchase order value of 219712695.12000000 and a received quantity of 16859.0000."",""evidence_ids"":[""SQL-3e1a9c0c5ad3e104""],""supported"":true}]",[],"{""routing"":0,""document_exact_identifier"":0,""document_hybrid_retrieval"":195,""document_reranking"":633,""document_retrieval_total"":828,""sql_lookup"":55,""evidence_collection"":828,""synthesis"":2157,""orchestrator_total"":2987}","[{""attempt"":1,""status_code"":200,""latency_ms"":2146,""provider"":""gemini"",""model"":""gemini-3.5-flash-lite"",""input_tokens"":3841,""output_tokens"":562,""total_tokens"":4403,""finish_reason"":""STOP"",""response_characters"":1394,""ignored_thought_parts"":0}]",2987,2987,
Q007,Show supplier communications about shortages.,"EcoWrap Flexible Packaging is recorded with a shortage root cause of supplier quantity variance resulting in a 12 unit quantity gap for PO-P2-00420.

FarmFresh Agro Suppliers experienced a supplier quantity variance leading to a 1 unit gap for PO-P2-00481.

Nimbus Cloud Devices recorded a supplier quantity variance resulting in a 2 unit shortage for PO-P2-00026.

FarmFresh Agro Suppliers had a supplier quantity variance shortage of 1 unit for PO-P2-00301.

FarmFresh Agro Suppliers recorded a supplier quantity variance shortage of 7 units under PO-P2-00271.",True,True,True,True,"[""inventory"",""supplier""]","[""supplier"",""inventory""]",True,True,False,False,"[""EMAIL_THREAD_JSON"",""SHORTAGE_REPORT""]","[""SHORTAGE_REPORT""]","[""SHORTAGE_REPORT""]",True,0.5,8,"[""DOC-25bd557b-e6e0-5bba-b691-a03efd667781"",""DOC-f4032ee5-a898-573c-91d0-2920bf883c24"",""DOC-bf8835eb-0570-5f8c-9ac7-c4dc31f437f5"",""DOC-704a526b-0133-51fc-a3d1-970348b80312"",""DOC-4ccd18f7-ee97-5e0a-b9bf-61dec9fc1178"",""DOC-158c7454-7a3c-5646-bd0f-e078e429777f"",""DOC-7be68796-63bc-5081-9c73-ade67e82c5c8"",""DOC-c6d5f616-2b7d-5640-a282-70c6079f86c8""]",,,,[],,0,[],5,5,1.0,True,"[{""text"":""EcoWrap Flexible Packaging is recorded with a shortage root cause of supplier quantity variance resulting in a 12 unit quantity gap for PO-P2-00420."",""evidence_ids"":[""DOC-25bd557b-e6e0-5bba-b691-a03efd667781""],""supported"":true},{""text"":""FarmFresh Agro Suppliers experienced a supplier quantity variance leading to a 1 unit gap for PO-P2-00481."",""evidence_ids"":[""DOC-f4032ee5-a898-573c-91d0-2920bf883c24""],""supported"":true},{""text"":""Nimbus Cloud Devices recorded a supplier quantity variance resulting in a 2 unit shortage for PO-P2-00026."",""evidence_ids"":[""DOC-bf8835eb-0570-5f8c-9ac7-c4dc31f437f5""],""supported"":true},{""text"":""FarmFresh Agro Suppliers had a supplier quantity variance shortage of 1 unit for PO-P2-00301."",""evidence_ids"":[""DOC-704a526b-0133-51fc-a3d1-970348b80312""],""supported"":true},{""text"":""FarmFresh Agro Suppliers recorded a supplier quantity variance shortage of 7 units under PO-P2-00271."",""evidence_ids"":[""DOC-4ccd18f7-ee97-5e0a-b9bf-61dec9fc1178""],""supported"":true}]",[],"{""routing"":0,""document_exact_identifier"":0,""document_hybrid_retrieval"":199,""document_reranking"":310,""document_retrieval_total"":509,""evidence_collection"":509,""synthesis"":2205,""orchestrator_total"":2717}","[{""attempt"":1,""status_code"":200,""latency_ms"":2203,""provider"":""gemini"",""model"":""gemini-3.5-flash-lite"",""input_tokens"":2876,""output_tokens"":564,""total_tokens"":3440,""finish_reason"":""STOP"",""response_characters"":1497,""ignored_thought_parts"":0}]",2717,2717,
Q008,What clauses govern late delivery credits?,"Master Vendor Supply Agreements such as CON-P2-0189 specify under Article 4 that a service credit equal to 1 percent of the delayed line value applies per verified week, capped at 5 percent.

Vendor supply agreements including CON-P2-0131 contain an Article 4 Late Delivery Credit penalty clause applying 1 percent of the delayed line value per verified week with a 5 percent cap.

Agreement CON-P2-0179 features a Late Delivery Credit penalty clause charging 1 percent per verified week of the delayed line value up to a 5 percent cap.

Structured ERP results show that contracts such as CON-P2-0001 include a Delay Service Credit clause applying a service credit of INR 25000 for each verified day beyond the SLA.",True,True,True,True,"[""supplier""]","[""supplier"",""analytics""]",True,True,True,True,"[""VENDOR_SUPPLY_AGREEMENT""]","[""VENDOR_SUPPLY_AGREEMENT""]","[""VENDOR_SUPPLY_AGREEMENT""]",True,1.0,8,"[""DOC-59c42ba7-3206-514c-b5f2-7e5518bb52cb"",""DOC-0214ab9e-4c4c-5157-9546-ecbf36f77dee"",""DOC-5bd4fd82-7014-5b1e-a2bd-6d418481a192"",""DOC-18f7a12a-548e-5825-a78a-7d4c7b4b82fa"",""DOC-3c877541-dafc-5a4c-b86b-dfb9f2427cdb"",""DOC-6145f878-a37e-5348-ac73-572e22ac2728"",""DOC-0c88b28d-beb2-5ac4-ba14-8abe14a199f4"",""DOC-1b1e3ed3-f655-533d-a877-52693135c871""]",,True,,"[""template:late_delivery_terms""]","SELECT contract_id, supplier_id, supplier_name, carrier_name, clause_id, clause_type, clause_title, clause_text, structured_terms, data_as_of FROM analytics.contract_terms WHERE LOWER(COALESCE(clause_type, '')) LIKE '%late%' OR LOWER(COALESCE(clause_title, '')) LIKE '%late%' OR LOWER(COALESCE(clause_text, '')) LIKE '%late delivery%' OR LOWER(COALESCE(clause_text, '')) LIKE '%credit%' ORDER BY contract_id, clause_id LIMIT 201",200,"[""SQL-931267e16f5458f2""]",4,4,1.0,True,"[{""text"":""Master Vendor Supply Agreements such as CON-P2-0189 specify under Article 4 that a service credit equal to 1 percent of the delayed line value applies per verified week, capped at 5 percent."",""evidence_ids"":[""DOC-59c42ba7-3206-514c-b5f2-7e5518bb52cb""],""supported"":true},{""text"":""Vendor supply agreements including CON-P2-0131 contain an Article 4 Late Delivery Credit penalty clause applying 1 percent of the delayed line value per verified week with a 5 percent cap."",""evidence_ids"":[""DOC-0214ab9e-4c4c-5157-9546-ecbf36f77dee""],""supported"":true},{""text"":""Agreement CON-P2-0179 features a Late Delivery Credit penalty clause charging 1 percent per verified week of the delayed line value up to a 5 percent cap."",""evidence_ids"":[""DOC-5bd4fd82-7014-5b1e-a2bd-6d418481a192""],""supported"":true},{""text"":""Structured ERP results show that contracts such as CON-P2-0001 include a Delay Service Credit clause applying a service credit of INR 25000 for each verified day beyond the SLA."",""evidence_ids"":[""SQL-931267e16f5458f2""],""supported"":true}]",[],"{""routing"":0,""document_exact_identifier"":0,""document_hybrid_retrieval"":292,""document_reranking"":402,""document_retrieval_total"":694,""sql_lookup"":28,""evidence_collection"":695,""synthesis"":2256,""orchestrator_total"":2953}","[{""attempt"":1,""status_code"":200,""latency_ms"":2232,""provider"":""gemini"",""model"":""gemini-3.5-flash-lite"",""input_tokens"":4197,""output_tokens"":490,""total_tokens"":4687,""finish_reason"":""STOP"",""response_characters"":1451,""ignored_thought_parts"":0}]",2953,2953,
Q009,List open purchase order quantities by product.,Open purchase-order quantities by product returned 180 result rows. The complete result is shown in the table.,True,True,True,True,"[""analytics"",""supplier""]","[""supplier"",""analytics""]",True,True,True,True,[],"[""SHORTAGE_REPORT""]",[],,,8,"[""DOC-6183a47e-be4a-5191-bcff-80b1ca672693"",""DOC-baba17af-c76e-537b-a074-f6f55aecf04d"",""DOC-7d627051-f668-5a75-a2ed-ed37e8cbf75b"",""DOC-eea3c45e-726f-5139-beae-d179e40cde97"",""DOC-cb6e6abd-fe87-5623-a15b-00afb8b52855"",""DOC-173e70c3-46cf-5756-b479-a0efe38db421"",""DOC-060539c1-7d62-5865-96d0-fa7e67b39b6e"",""DOC-062a72fc-db67-596a-8585-4919c9e96b42""]",purchase_order_lines,True,True,"[""plan:local""]","SELECT source_product_id, product_name, SUM(open_quantity) AS sum_open_quantity FROM analytics.purchase_order_lines WHERE NOT UPPER(COALESCE(status, '')) IN ('CLOSED', 'COMPLETED', 'CANCELLED') GROUP BY source_product_id, product_name ORDER BY sum_open_quantity DESC NULLS LAST LIMIT 201",180,"[""SQL-f9fb432519ebd7ba""]",1,1,1.0,True,"[{""text"":""Open purchase-order quantities by product returned 180 result rows. The complete result is shown in the table."",""evidence_ids"":[""SQL-f9fb432519ebd7ba""],""supported"":true}]",[],"{""routing"":0,""document_exact_identifier"":0,""document_hybrid_retrieval"":206,""document_reranking"":256,""document_retrieval_total"":463,""sql_lookup"":63,""evidence_collection"":463,""synthesis"":0,""orchestrator_total"":465}",[],465,465,
Q010,Brief management on current supplier performance.,"Aurora Medical Supplies, Bluehaven Industrial Components, Cascade Apparel Manufacturing, Cedar Paper and Board, Greenfield Cold Chain Foods, Lumina Lighting Systems, Mariner Export Foods, Nimbus Cloud Devices, Orbital Electronics Manufacturing, Redwood Furniture Works, Saffron Spice Exports, Shenzhen TechHub Manufacturing, and Trident Auto Components all maintain a 100.00% on-time shipment percentage with zero late shipments out of 40 shipments each.

Apex Packaging Solutions and Clearwater Hygiene Products also maintain a 100.00% on-time delivery rate with 40 shipments each and zero late shipments.

Saffron Spice Exports recorded a 4-unit quantity gap for Nike T-shirt V9 at facility 119 due to a supplier quantity variance.

Verdant Personal Care recorded a critical 6-unit quantity gap for Lakme Lipstick V10 at facility 113 due to a supplier quantity variance.",False,True,True,True,"[""executive_reporting"",""supplier""]","[""supplier"",""analytics"",""executive_reporting""]",True,True,True,True,"[""PURCHASE_ORDER"",""VENDOR_SUPPLY_AGREEMENT""]","[""FULL_SOP"",""SHORTAGE_REPORT""]",[],False,0.0,8,"[""DOC-8906d2e6-e3d6-54ca-94ae-a32c3dcc9ec9"",""DOC-1a029c8b-1487-507c-9d58-ea3cd93d6cc1"",""DOC-388be000-1818-5e46-9dba-926f5bc9ac0f"",""DOC-5b432341-9596-5e18-83b5-fc6b79787ccb"",""DOC-d7c630b7-bc69-50b4-a725-3c0bc9af5e09"",""DOC-2bbffb49-743b-5137-8cef-ddad9c34771c"",""DOC-5d5381a5-b4e8-5161-9240-32933c9f855e"",""DOC-c1016a3b-ddcf-59c8-a4fc-7b678728dc4e""]",,True,,"[""template:supplier_performance""]","SELECT * FROM analytics.supplier_performance ORDER BY risk_tier DESC, on_time_percentage ASC NULLS FIRST, supplier_name LIMIT 201",30,"[""SQL-22abac15b10aed8b""]",4,4,1.0,True,"[{""text"":""Aurora Medical Supplies, Bluehaven Industrial Components, Cascade Apparel Manufacturing, Cedar Paper and Board, Greenfield Cold Chain Foods, Lumina Lighting Systems, Mariner Export Foods, Nimbus Cloud Devices, Orbital Electronics Manufacturing, Redwood Furniture Works, Saffron Spice Exports, Shenzhen TechHub Manufacturing, and Trident Auto Components all maintain a 100.00% on-time shipment percentage with zero late shipments out of 40 shipments each."",""evidence_ids"":[""SQL-22abac15b10aed8b""],""supported"":true},{""text"":""Apex Packaging Solutions and Clearwater Hygiene Products also maintain a 100.00% on-time delivery rate with 40 shipments each and zero late shipments."",""evidence_ids"":[""SQL-22abac15b10aed8b""],""supported"":true},{""text"":""Saffron Spice Exports recorded a 4-unit quantity gap for Nike T-shirt V9 at facility 119 due to a supplier quantity variance."",""evidence_ids"":[""DOC-5d5381a5-b4e8-5161-9240-32933c9f855e""],""supported"":true},{""text"":""Verdant Personal Care recorded a critical 6-unit quantity gap for Lakme Lipstick V10 at facility 113 due to a supplier quantity variance."",""evidence_ids"":[""DOC-c1016a3b-ddcf-59c8-a4fc-7b678728dc4e""],""supported"":true}]",[],"{""routing"":0,""document_exact_identifier"":0,""document_hybrid_retrieval"":107,""document_reranking"":678,""document_retrieval_total"":786,""sql_lookup"":24,""evidence_collection"":786,""synthesis"":3073,""orchestrator_total"":3861}","[{""attempt"":1,""status_code"":200,""latency_ms"":3065,""provider"":""gemini"",""model"":""gemini-3.5-flash-lite"",""input_tokens"":5576,""output_tokens"":505,""total_tokens"":6081,""finish_reason"":""STOP"",""response_characters"":1650,""ignored_thought_parts"":0}]",3861,3861,
